,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
109,S,Mountain House High,Lammersville Joint Unified,San Joaquin,333.0,158.0,144.0,91.14,120.0,75.95,118.0,74.68,283.0,132.0,114.0,86.36,82.0,62.12,80.0,60.61
110,S,Farmersville High,Farmersville Unified,Tulare,157.0,60.0,25.0,41.67,5.0,8.33,5.0,8.33,170.0,60.0,21.0,35.0,6.0,10.0,6.0,10.0
111,S,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,72.0,35.0,26.0,74.29,19.0,54.29,18.0,51.43,83.0,68.0,36.0,52.94,16.0,23.53,16.0,23.53
112,S,Fairfield High,Fairfield-Suisun Unified,Solano,315.0,39.0,29.0,74.36,22.0,56.41,22.0,56.41,304.0,60.0,35.0,58.33,15.0,25.0,14.0,23.33
113,S,Tulare Union High,Tulare Joint Union High,Tulare,412.0,102.0,82.0,80.39,70.0,68.63,63.0,61.76,382.0,130.0,77.0,59.23,67.0,51.54,58.0,44.62
115,S,Chula Vista Senior High,Sweetwater Union High,San Diego,632.0,168.0,114.0,67.86,66.0,39.29,63.0,37.5,672.0,209.0,141.0,67.46,65.0,31.1,64.0,30.62
117,S,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,511.0,353.0,350.0,99.15,336.0,95.18,335.0,94.9,544.0,204.0,198.0,97.06,183.0,89.71,182.0,89.22
118,S,Albany High,Albany City Unified,Alameda,261.0,147.0,147.0,100.0,141.0,95.92,141.0,95.92,296.0,114.0,107.0,93.86,97.0,85.09,96.0,84.21
121,S,Keyes to Learning Charter,Keyes Union,Stanislaus,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,S,Hueneme High,Oxnard Union High,Ventura,435.0,365.0,141.0,38.63,63.0,17.26,54.0,14.79,491.0,402.0,117.0,29.1,73.0,18.16,63.0,15.67
123,S,Modesto High,Modesto City High,Stanislaus,622.0,250.0,181.0,72.4,121.0,48.4,117.0,46.8,585.0,235.0,151.0,64.26,107.0,45.53,99.0,42.13
124,S,Santa Cruz High,Santa Cruz City High,Santa Cruz,275.0,158.0,148.0,93.67,140.0,88.61,136.0,86.08,268.0,112.0,97.0,86.61,88.0,78.57,84.0,75.0
128,S,Sonora High,Fullerton Joint Union High,Orange,441.0,113.0,100.0,88.5,84.0,74.34,84.0,74.34,410.0,163.0,140.0,85.89,106.0,65.03,103.0,63.19
129,S,Garden Grove High,Garden Grove Unified,Orange,531.0,228.0,201.0,88.16,171.0,75.0,164.0,71.93,569.0,215.0,175.0,81.4,131.0,60.93,127.0,59.07
130,S,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Sacramento City Unified,Sacramento,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,S,Hiram W. Johnson High,Sacramento City Unified,Sacramento,366.0,314.0,106.0,33.76,44.0,14.01,37.0,11.78,364.0,55.0,26.0,47.27,16.0,29.09,14.0,25.45
132,S,Poway High,Poway Unified,San Diego,576.0,299.0,279.0,93.31,262.0,87.63,254.0,84.95,533.0,186.0,167.0,89.78,153.0,82.26,148.0,79.57
135,S,John H. Pitman High,Turlock Unified,Stanislaus,528.0,154.0,130.0,84.42,97.0,62.99,94.0,61.04,511.0,221.0,170.0,76.92,100.0,45.25,97.0,43.89
136,S,Taft Union High,Taft Union High,Kern,230.0,48.0,38.0,79.17,17.0,35.42,17.0,35.42,204.0,46.0,33.0,71.74,15.0,32.61,15.0,32.61
142,S,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,192.0,28.0,22.0,78.57,9.0,32.14,9.0,32.14,153.0,38.0,25.0,65.79,10.0,26.32,9.0,23.68
144,S,Mission San Jose High,Fremont Unified,Alameda,484.0,380.0,379.0,99.74,378.0,99.47,378.0,99.47,490.0,149.0,147.0,98.66,142.0,95.3,142.0,95.3
145,S,Liberty High,Liberty Union High,Contra Costa,683.0,212.0,195.0,91.98,150.0,70.75,145.0,68.4,610.0,203.0,163.0,80.3,115.0,56.65,109.0,53.69
146,S,Mendota High,Mendota Unified,Fresno,187.0,76.0,43.0,56.58,24.0,31.58,21.0,27.63,223.0,69.0,23.0,33.33,11.0,15.94,9.0,13.04
147,S,Herlong High,Fort Sage Unified,Lassen,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,S,Los Alamitos High,Los Alamitos Unified,Orange,760.0,358.0,339.0,94.69,292.0,81.56,289.0,80.73,758.0,319.0,292.0,91.54,234.0,73.35,227.0,71.16
149,S,Temescal Canyon High,Lake Elsinore Unified,Riverside,490.0,132.0,116.0,87.88,99.0,75.0,94.0,71.21,496.0,238.0,161.0,67.65,110.0,46.22,102.0,42.86
150,S,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,367.0,295.0,166.0,56.27,70.0,23.73,66.0,22.37,432.0,282.0,149.0,52.84,81.0,28.72,66.0,23.4
151,S,Pittsburg Senior High,Pittsburg Unified,Contra Costa,882.0,262.0,190.0,72.52,106.0,40.46,102.0,38.93,716.0,277.0,164.0,59.21,96.0,34.66,89.0,32.13
153,S,Anaheim High,Anaheim Union High,Orange,804.0,102.0,75.0,73.53,59.0,57.84,53.0,51.96,722.0,137.0,89.0,64.96,55.0,40.15,48.0,35.04
154,S,Rancho Verde High,Val Verde Unified,Riverside,512.0,478.0,237.0,49.58,111.0,23.22,104.0,21.76,505.0,471.0,223.0,47.35,101.0,21.44,94.0,19.96
155,S,Jurupa Hills High,Fontana Unified,San Bernardino,491.0,422.0,215.0,50.95,115.0,27.25,102.0,24.17,466.0,138.0,81.0,58.7,45.0,32.61,41.0,29.71
156,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,108.0,34.0,20.0,58.82,4.0,11.76,3.0,8.82,111.0,42.0,16.0,38.1,7.0,16.67,7.0,16.67
157,S,Imperial Pathways Charter,Imperial County Office of Education,Imperial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,S,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,43.0,30.0,5.0,16.67,4.0,13.33,4.0,13.33,47.0,36.0,8.0,22.22,7.0,19.44,5.0,13.89
159,S,Blair High,Pasadena Unified,Los Angeles,118.0,22.0,18.0,81.82,14.0,63.64,13.0,59.09,156.0,64.0,44.0,68.75,28.0,43.75,27.0,42.19
160,S,Pasadena High,Pasadena Unified,Los Angeles,402.0,126.0,102.0,80.95,86.0,68.25,82.0,65.08,414.0,202.0,144.0,71.29,103.0,50.99,95.0,47.03
