,record_type,school_name,district_name,county_name,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
151,S,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716.0,277.0,164.0,59.21,96.0,34.66,89.0,32.13
153,S,Anaheim High,Anaheim Union High,Orange,722.0,137.0,89.0,64.96,55.0,40.15,48.0,35.04
154,S,Rancho Verde High,Val Verde Unified,Riverside,505.0,471.0,223.0,47.35,101.0,21.44,94.0,19.96
155,S,Jurupa Hills High,Fontana Unified,San Bernardino,466.0,138.0,81.0,58.7,45.0,32.61,41.0,29.71
156,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,42.0,16.0,38.1,7.0,16.67,7.0,16.67
157,S,Imperial Pathways Charter,Imperial County Office of Education,Imperial,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,S,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47.0,36.0,8.0,22.22,7.0,19.44,5.0,13.89
159,S,Blair High,Pasadena Unified,Los Angeles,156.0,64.0,44.0,68.75,28.0,43.75,27.0,42.19
160,S,Pasadena High,Pasadena Unified,Los Angeles,414.0,202.0,144.0,71.29,103.0,50.99,95.0,47.03
162,S,Redlands East Valley High,Redlands Unified,San Bernardino,545.0,376.0,271.0,72.07,201.0,53.46,194.0,51.6
163,S,Grove,Redlands Unified,San Bernardino,31.0,19.0,16.0,84.21,14.0,73.68,13.0,68.42
164,S,Ramona High,Ramona City Unified,San Diego,352.0,113.0,91.0,80.53,70.0,61.95,66.0,58.41
165,S,Vista High (Alternative),West Contra Costa Unified,Contra Costa,170.0,26.0,12.0,46.15,3.0,11.54,3.0,11.54
166,S,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,129.0,31.0,24.03,3.0,2.33,2.0,1.55
167,S,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609.0,260.0,249.0,95.77,228.0,87.69,225.0,86.54
168,S,San Marin High,Novato Unified,Marin,266.0,110.0,102.0,92.73,78.0,70.91,78.0,70.91
169,S,Twentynine Palms High,Morongo Unified,San Bernardino,172.0,29.0,26.0,89.66,13.0,44.83,13.0,44.83
