Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
Eldridge,Sonoma,1333,2045,29956,54355,61786
El Granada,San Mateo,5377,1115,57758,110000,158309
Elizabeth Lake,Los Angeles,1603,257,30157,56806,66500
Elk Creek,Glenn,136,94,23439,42500,44464
Elk Grove,Sacramento,158455,3756,29695,79051,84732
Elkhorn,Monterey,1342,279,33900,84758,103750
Elmira,Solano,242,456,24259,71793,70870
El Monte,Los Angeles,115243,12052,15010,38906,40727
El Nido,Merced,412,125,29007,30956,33375
El Paso de Robles (Paso Robles),San Luis Obispo,30522,1594,28358,59978,66880
El Portal,Mariposa,601,584,41825,102872,103429
El Rancho,Tulare,16,222,[7],[7],[7]
El Rio,Ventura,6785,3352,17696,59179,67039
El Segundo,Los Angeles,16839,3082,42575,84004,103205
El Sobrante,Contra Costa,13122,4746,30822,60732,66806
El Sobrante,Riverside,14855,2060,30822,99080,99126
El Verano,Sonoma,4338,3799,25804,50811,43250
Elverta,Sacramento,5547,627,23017,60718,61516
Emerald Lake Hills,San Mateo,4519,3782,80009,166063,188654
Emeryville,Alameda,10497,8194,53155,69329,84688
Empire,Stanislaus,4296,2749,12446,31446,34128
Encinitas,San Diego,61008,3243,48067,92564,111696
Escalon,San Joaquin,7252,3152,26249,57971,72694
Escondido,San Diego,147603,3983,21684,49409,53983
Esparto,Yolo,3229,702,19565,64844,66652
Etna,Siskiyou,750,987,14168,26711,28438
Eucalyptus Hills,San Diego,5352,1125,31768,71861,78313
Eureka,Humboldt,27039,2881,21151,38007,50807
Exeter,Tulare,10468,4250,19357,41341,46295
Fairbanks Ranch,San Diego,3245,637,55172,119228,133707
Fairfax,Marin,7546,3424,56506,93354,132545
Fairfield,Solano,107983,2888,27110,66190,75091
Fairmead,Madera,1983,256,10861,31058,37550
Fair Oaks,Sacramento,31256,2895,40467,73295,91885
Fairview,Alameda,9852,3583,36521,90365,100551
Fallbrook,San Diego,31435,1794,25565,51765,56025
Fall River Mills,Shasta,712,275,17021,32824,30893
Farmersville,Tulare,10675,4728,11102,32455,34538
Farmington,San Joaquin,124,49,55222,19886,130357
Fellows,Kern,98,149,24036,63250,63500
Felton,Santa Cruz,3957,869,41368,75550,95000
Ferndale,Humboldt,1456,1418,37233,45948,61058
Fetters Hot Springs-Agua Caliente,Sonoma,4866,3331,28459,58232,60761
Fiddletown,Amador,86,19,23801,42500,[7]
Fieldbrook,Humboldt,812,78,30480,62750,82292
Fields Landing,Humboldt,130,469,25299,16537,[7]
Fillmore,Ventura,15203,4519,19205,54519,60142
Firebaugh,Fresno,7935,2258,12436,31312,33518
Fish Camp,Mariposa,44,49,15666,[7],[7]
Florence-Graham,Los Angeles,62815,17546,10957,33992,33360
Florin,Sacramento,50791,5835,16358,40183,44694
Floriston,Nevada,58,61,36800,56607,59375
Flournoy,Tehama,143,25,18901,58500,59250
Folsom,Sacramento,73334,3341,38472,100163,116527
Fontana,San Bernardino,201355,4746,19685,64995,66795
Foothill Farms,Sacramento,33024,7863,19658,44590,45764
Forbestown,Butte,450,72,20552,63676,64853
Ford City,Kern,4154,2706,14873,32134,38448
Foresthill,Placer,1345,120,26123,34821,75820
Forest Meadows,Calaveras,1674,296,40314,70484,85114
Forest Ranch,Butte,1064,76,30503,41649,48313
Forestville,Sonoma,3461,658,28818,55740,66136
Fort Bidwell,Modoc,161,50,16952,23333,29167
Fort Bragg,Mendocino,7274,2646,20585,34057,54615
Fort Irwin,San Bernardino,9191,1320,19077,49928,51134
Fort Jones,Siskiyou,848,1409,16945,39500,51250
Fortuna,Humboldt,11863,2449,21626,42450,51213
Fort Washington,Fresno,430,3468,64517,92566,92566
Foster City,San Mateo,31809,8380,55318,114651,130566
Fountain Valley,Orange,56440,6221,34382,82532,93322
Fowler,Fresno,5908,2324,19298,47731,62070
Franklin,Merced,6840,3403,15950,34671,41273
Franklin,Sacramento,33,16,23882,24531,[7]
Frazier Park,Kern,2730,539,20707,43077,56336
Freedom,Santa Cruz,3205,2903,18078,51492,52885
Freeport,Sacramento,68,1546,25197,46250,[7]
Fremont,Alameda,221654,2861,40815,103591,112347
French Camp,San Joaquin,4155,1322,10460,35833,46350
French Gulch,Shasta,441,36,14994,28750,27833
French Valley,Riverside,26753,2456,26621,88699,88614
Fresno,Fresno,506132,4470,19226,41455,45554
Friant,Fresno,263,210,20332,18884,17000
Fruitdale,Santa Clara,1089,4079,43850,73250,103333
Fruitridge Pocket,Sacramento,5802,9543,10884,32853,34948
Fuller Acres,Kern,924,1226,10343,33750,28472
Fullerton,Orange,137945,6149,29733,65909,76187
Fulton,Sonoma,441,226,34310,65750,116146
Furnace Creek,Inyo,187,6,29232,33000,53359
Galt,Sacramento,24280,4050,22609,59375,62452
Garberville,Humboldt,1061,396,18239,29694,37127
Gardena,Los Angeles,59682,10239,23230,47856,54331
Garden Acres,San Joaquin,11172,4315,13032,38940,39460
Garden Farms,San Luis Obispo,341,312,53338,102344,100156
Garden Grove,Orange,173853,9682,21241,59360,62562
Garey,Santa Barbara,74,59,17823,62500,46667
Garnet,Riverside,6380,809,13804,37910,39785
Gasquet,Del Norte,500,105,22000,35547,38750
Gazelle,Siskiyou,76,131,12700,21071,30833
Georgetown,El Dorado,2458,163,23926,46136,78487
Gerber,Tehama,1201,1301,14062,31781,32232
Geyserville,Sonoma,879,195,22451,49271,49931
Gilroy,Santa Clara,50776,3146,29559,81056,86098
Glendale,Los Angeles,195380,6418,29264,52451,61806
Glendora,Los Angeles,50855,2622,32090,74169,82961
Glen Ellen,Sonoma,614,292,43374,48750,49167
Golden Hills,Kern,8398,686,26782,64425,68682
Gold Mountain,Plumas,22,4,[7],[7],[7]
